Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family_members,1,2,3,female,male,Capt,Col,Countess,Don,Dr,Jonkheer,Lady,Major,Master,Miss,Mlle,Mme,Mr,Mrs,Ms,Rev,Sir,"0    S
dtype: object",C,Q,S
1,1,female,0.2837396330736366,0.0005538228800420444,S,Miss,0.028373963307363657,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.2963056044232219,0.0005783500226479809,S,Mr,0.02963056044232219,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.35913546117114853,0.000700985735677663,S,Mr,0.03591354611711485,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.24604171902488062,0.0004802414522242351,S,Mr,0.02460417190248806,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.572756974114099,0.001117947159978582,S,Mr,0.0572756974114099,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.32143754712239253,0.0006274043078598536,S,Mr,0.03214375471223925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.7361146016587082,0.0014368000138557557,S,Mr,0.07361146016587082,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.8869062578537321,0.0017311257251269928,C,Mr,0.0886906257853732,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,male,0.2837396330736366,0.0005538228800420444,C,Mr,0.028373963307363657,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,female,0.42196531791907516,0.0008236214487073451,S,Mrs,0.042196531791907514,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2,male,0.42196531791907516,0.0008236214487073451,S,Mr,0.042196531791907514,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.3465694898215632,0.0006764585930717265,S,Miss,0.03465694898215632,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.2586076903744659,0.0005047685948301715,S,Mr,0.02586076903744659,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.4093993465694898,0.0007990943061014086,S,Mr,0.04093993465694898,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.4596632319678311,0.0008972028765251543,S,Mr,0.04596632319678311,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.3465694898215632,0.0006764585930717265,S,Mr,0.03465694898215632,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.2586076903744659,0.0005047685948301715,S,Miss,0.02586076903744659,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.4722292033174164,0.0009217300191310908,S,Mr,0.04722292033174164,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.36792055349407915,0.0007181330939054013,Q,Miss,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,male,0.5853229454636844,0.0011424743025845185,S,Mr,0.058532294546368435,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.17692887660216136,0.00034534216789158486,C,Miss,0.017692887660216136,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,male,0.2711736617240513,0.000529295737436108,S,Mr,0.02711736617240513,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.24604171902488062,0.0004802414522242351,S,Miss,0.02460417190248806,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,female,0.20834380497612465,0.00040666002440642587,C,Miss,0.020834380497612465,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,male,0.2586076903744659,0.0005047685948301715,S,Mr,0.02586076903744659,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.8806232721789394,0.0017188621538240245,Q,Mr,0.08806232721789395,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,male,0.35913546117114853,0.000700985735677663,S,Mr,0.03591354611711485,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.2963056044232219,0.0005783500226479809,C,Mr,0.02963056044232219,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,female,0.01985423473234481,3.875288531737955e-05,S,Miss,0.001985423473234481,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,male,0.2586076903744659,0.0005047685948301715,S,Mr,0.02586076903744659,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.36792055349407915,0.0007181330939054013,S,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,2,male,0.40311636089469716,0.0007868307347984404,C,Mr,0.040311636089469714,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,female,0.40311636089469716,0.0007868307347984404,S,Miss,0.040311636089469714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,male,0.6732847449107816,0.0013141643008260735,S,Mr,0.06732847449107816,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,male,0.14551394822819805,0.0002840243113767438,C,Master,0.014551394822819804,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,3,male,0.36792055349407915,0.0007181330939054013,Q,Mr,0.036792055349407916,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3,male,0.2963056044232219,0.0005783500226479809,S,Mr,0.02963056044232219,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,female,0.36792055349407915,0.0007181330939054013,C,Miss,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,male,0.5601910027645137,0.0010934200173726458,S,Mr,0.05601910027645137,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.4093993465694898,0.0007990943061014086,C,Mr,0.04093993465694898,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,male,0.24604171902488062,0.0004802414522242351,S,Mr,0.02460417190248806,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.5853229454636844,0.0011424743025845185,S,Mrs,0.058532294546368435,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,2,female,0.35913546117114853,0.000700985735677663,S,Mrs,0.03591354611711485,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2,male,0.3088715757728072,0.0006028771652539172,S,Mr,0.03088715757728072,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,2,male,0.2837396330736366,0.0005538228800420444,C,Mr,0.028373963307363657,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,female,0.23347574767529528,0.0004557143096182987,S,Miss,0.02334757476752953,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,male,0.4596632319678311,0.0008972028765251543,S,Mr,0.04596632319678311,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,male,0.19577783362653933,0.0003821328818004895,S,Mr,0.019577783362653933,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,male,0.2963056044232219,0.0005783500226479809,C,Mr,0.02963056044232219,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3,female,0.36792055349407915,0.0007181330939054013,C,Mrs,0.036792055349407916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,3,female,0.2711736617240513,0.000529295737436108,S,Miss,0.02711736617240513,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3,female,0.2963056044232219,0.0005783500226479809,S,Mrs,0.02963056044232219,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,3,male,0.23347574767529528,0.0004557143096182987,Q,Mr,0.02334757476752953,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,male,0.22090977632570996,0.00043118716701236225,S,Mr,0.022090977632570997,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,2,male,0.23347574767529528,0.0004557143096182987,S,Mr,0.02334757476752953,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3,male,0.33400351847197784,0.00065193145046579,S,Mr,0.033400351847197786,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3,female,0.10781603417944208,0.00021044288355893452,S,Miss,0.010781603417944208,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,male,0.4533802462930384,0.000884939305222186,S,Mr,0.04533802462930384,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
